4 14 4 4 12 
10 0 0  0.0563661312789 0 -0.123422193906 0 0.0133579418855 0 0.0778145014987 0 -0.147159725797 0 -0.0152418582529 0 -0.0194221460719 0 0.0381490087296 0 -0.0479054018126 0 -0.00841665484463 0 0.055709897411 0 -0.120047610138 0 0.0548893976681 0 0.0937695200036 0
10 0 1  0.0695190559964 0.124212046741 0.088611687655 -0.0878228422101 0.0504220816951 0.072098158211 0.0138040383106 -0.0802180794704 0.0195446683887 -0.0784496857718 0.0636447024255 0.0311341271884 0.0262887947701 -0.146915145931 -0.057108408314 -0.0120182954808 -0.0286016674273 -0.0882849746319 0.0127331985608 -0.000315222359057 0.0078591138046 0.115431163683 -0.00857561082758 -0.0472677862382 0.00634097560781 0.0534567728091 0.139429986347 0.00169027238453
10 0 2  0.066264371245 -1.5419097014e-17 0.0214641299629 1.0106671782e-17 0.106507142641 -2.14016604319e-17 0.0516949797863 6.78293883923e-18 -0.0602045451905 1.40493083919e-17 -0.00782194234852 4.48497004317e-18 -0.182217700183 5.34949501985e-17 0.0559159034509 -1.34575779913e-17 0.0465769897281 -4.18031694418e-18 -0.00704635487122 2.37699361139e-18 0.104194221725 -2.89026972977e-17 -0.000979213159006 -2.43249265906e-18 0.180038088456 -3.5481475078e-17 -0.0341715734928 2.88871933234e-17
10 0 3  0.0695190559964 -0.124212046741 0.088611687655 0.0878228422101 0.0504220816951 -0.072098158211 0.0138040383106 0.0802180794704 0.0195446683887 0.0784496857718 0.0636447024255 -0.0311341271884 0.0262887947701 0.146915145931 -0.057108408314 0.0120182954808 -0.0286016674273 0.0882849746319 0.0127331985608 0.000315222359057 0.0078591138046 -0.115431163683 -0.00857561082758 0.0472677862382 0.00634097560781 -0.0534567728091 0.139429986347 -0.00169027238453
10 0.333 0  -0.0231678181217 0 -0.136435568522 0 -0.0337166044091 0 0.114850237468 0 0.162064190478 0 0.164850993903 0 0.0969587500128 0 -0.0270994959675 0 -0.0243369970911 0 0.0940202600607 0 0.200893149137 0 -0.18992191098 0 -0.154029472822 0 -0.0899052110524 0
10 0.333 1  0.181170344664 -0.000593841266156 0.0879484882235 -0.0793362426181 0.131040387907 0.0738018530822 0.0396164499943 0.0934555733047 -0.0593804557957 0.0390886241916 -0.0155817494488 -0.0573898100186 0.0318629917802 0.01729066921 0.0402150224198 0.04029109328 0.129703667989 0.022122681669 0.104775309495 0.0290913793593 -0.0617517018931 0.0165884084129 -0.184412985715 0.0526750430764 -0.064839469107 0.0864468674206 0.139144934822 0.0704144882537
10 0.333 2  0.0258635039797 1.60900245301e-17 0.0109867760129 1.01139638916e-17 0.0734955810813 -8.55576695569e-18 0.00456448229781 -3.99324013614e-19 -0.0726808122322 1.1215833853e-17 -0.0395100822041 2.24721072123e-17 0.0160669350251 4.77015787921e-18 0.0153666246525 -4.49148469744e-18 0.017225865526 8.52031961337e-18 0.0554594042519 4.83796152072e-18 0.063119369149 -8.88757893892e-18 0.0218283743796 -4.46740798982e-17 0.0246292779567 -3.24831427839e-17 0.0553990874277 -7.26470157187e-18
10 0.333 3  0.181170344664 0.000593841266156 0.0879484882235 0.0793362426181 0.131040387907 -0.0738018530822 0.0396164499943 -0.0934555733047 -0.0593804557957 -0.0390886241916 -0.0155817494488 0.0573898100186 0.0318629917802 -0.01729066921 0.0402150224198 -0.04029109328 0.129703667989 -0.022122681669 0.104775309495 -0.0290913793593 -0.0617517018931 -0.0165884084129 -0.184412985715 -0.0526750430764 -0.064839469107 -0.0864468674206 0.139144934822 -0.0704144882537
10 0.662009598955 0  -0.0787243051282 0 -0.208845982127 0 -0.122437447078 0 0.136808844192 0 0.282273159864 0 0.248097093198 0 0.184621354247 0 0.0064051705157 0 0.00633320315583 0 0.0896993520615 0 0.111058774266 0 -0.15189273376 0 -0.223221313648 0 -0.114011144699 0
10 0.662009598955 1  0.111091784901 -0.0494975923933 0.0358150824869 -0.0621404017706 0.0792628885772 0.0535102730077 0.0413627328922 0.100433553401 -0.0628777105833 0.0578437690048 -0.0882100699629 -0.0246853336528 -0.022760779729 -0.0247898807644 0.0421615293938 -0.0239358094399 0.0942435283787 0.0329262412568 0.113610380302 0.0456688031633 -0.0756528757735 0.0170415352446 -0.184490923712 0.0497043955663 -0.134577354535 0.0912680760911 0.0352938730981 0.0586926356068
10 0.662009598955 2  0.0160897688228 1.18904106904e-17 0.0315041712555 -6.57926352404e-18 0.0350592144397 -1.07836187719e-17 -0.00873586068508 2.74778810469e-18 -0.0211314197176 6.38190755682e-18 0.00392918106063 6.69025020287e-18 0.027784257105 6.44940550594e-18 0.0164580734707 5.46349397259e-18 0.0193297753823 4.34617665674e-18 0.0470573834056 5.16864362198e-18 0.020103151745 -8.24429181969e-18 0.00575297011524 -3.90382057892e-17 0.0045813296922 -4.21680283464e-17 0.03281350021 -1.58744333323e-17
10 0.662009598955 3  0.111091784901 0.0494975923933 0.0358150824869 0.0621404017706 0.0792628885772 -0.0535102730077 0.0413627328922 -0.100433553401 -0.0628777105833 -0.0578437690048 -0.0882100699629 0.0246853336528 -0.022760779729 0.0247898807644 0.0421615293938 0.0239358094399 0.0942435283787 -0.0329262412568 0.113610380302 -0.0456688031633 -0.0756528757735 -0.0170415352446 -0.184490923712 -0.0497043955663 -0.134577354535 -0.0912680760911 0.0352938730981 -0.0586926356068
10 0.999 0  -0.159033888638 0 -0.268759730629 0 -0.130462358215 0 0.139990149782 0 0.320256233401 0 0.271934571836 0 0.208674912053 0 0.0445851892978 0 -0.0118261201301 0 0.0696742557462 0 0.106001366143 0 -0.0892818839967 0 -0.21524841051 0 -0.151932554011 0
10 0.999 1  0.0410603558722 -0.0339864836237 -0.00533042434141 -0.0410395746585 0.0319051180122 0.0199887797145 0.0274155393729 0.0761087521369 -0.0598032439348 0.0545323395783 -0.087095424763 -0.004542785296 -0.046119077622 -0.0373631626979 0.00425864887738 -0.0328051025222 0.0455769124886 0.009945202714 0.0920289722811 0.0216081569034 -0.0537786193134 0.0247922426257 -0.147829524805 0.0371953602532 -0.128370903784 0.0789593341382 -0.0169959557499 0.0444753064765
10 0.999 2  0.00195580969373 -9.06706368539e-19 0.0238084760285 -1.64572236232e-17 0.02252911779 -1.06677167128e-17 -0.0119575165576 4.80528588367e-18 -0.0107456223789 7.58190672695e-18 0.0126199180187 4.22316624929e-18 0.0207240192477 7.89842226127e-18 0.00647421123078 6.07976261061e-18 0.00723475412873 2.31048215123e-18 0.0253888998522 8.22651508801e-18 0.00937436862312 -4.85348734963e-18 0.00147242759439 -2.83964325589e-17 -0.000334693725738 -3.85093128314e-17 0.00849386601833 -1.8391542125e-17
10 0.999 3  0.0410603558722 0.0339864836237 -0.00533042434141 0.0410395746585 0.0319051180122 -0.0199887797145 0.0274155393729 -0.0761087521369 -0.0598032439348 -0.0545323395783 -0.087095424763 0.004542785296 -0.046119077622 0.0373631626979 0.00425864887738 0.0328051025222 0.0455769124886 -0.009945202714 0.0920289722811 -0.0216081569034 -0.0537786193134 -0.0247922426257 -0.147829524805 -0.0371953602532 -0.128370903784 -0.0789593341382 -0.0169959557499 -0.0444753064765
10 0 0  0.0563661312789 0 -0.123422193906 0 0.0133579418855 0 0.0778145014987 0 -0.147159725797 0 -0.0152418582529 0 -0.0194221460719 0 0.0381490087296 0 -0.0479054018126 0 -0.00841665484463 0 0.055709897411 0 -0.120047610138 0 0.0548893976681 0 0.0937695200036 0
10 0 1  0.0695190559964 0.124212046741 0.088611687655 -0.0878228422101 0.0504220816951 0.072098158211 0.0138040383106 -0.0802180794704 0.0195446683887 -0.0784496857718 0.0636447024255 0.0311341271884 0.0262887947701 -0.146915145931 -0.057108408314 -0.0120182954808 -0.0286016674273 -0.0882849746319 0.0127331985608 -0.000315222359057 0.0078591138046 0.115431163683 -0.00857561082758 -0.0472677862382 0.00634097560781 0.0534567728091 0.139429986347 0.00169027238453
10 0 2  0.066264371245 -1.5419097014e-17 0.0214641299629 1.0106671782e-17 0.106507142641 -2.14016604319e-17 0.0516949797863 6.78293883923e-18 -0.0602045451905 1.40493083919e-17 -0.00782194234852 4.48497004317e-18 -0.182217700183 5.34949501985e-17 0.0559159034509 -1.34575779913e-17 0.0465769897281 -4.18031694418e-18 -0.00704635487122 2.37699361139e-18 0.104194221725 -2.89026972977e-17 -0.000979213159006 -2.43249265906e-18 0.180038088456 -3.5481475078e-17 -0.0341715734928 2.88871933234e-17
10 0 3  0.0695190559964 -0.124212046741 0.088611687655 0.0878228422101 0.0504220816951 -0.072098158211 0.0138040383106 0.0802180794704 0.0195446683887 0.0784496857718 0.0636447024255 -0.0311341271884 0.0262887947701 0.146915145931 -0.057108408314 0.0120182954808 -0.0286016674273 0.0882849746319 0.0127331985608 0.000315222359057 0.0078591138046 -0.115431163683 -0.00857561082758 0.0472677862382 0.00634097560781 -0.0534567728091 0.139429986347 -0.00169027238453
10 0.333 0  -0.0231678181217 0 -0.136435568522 0 -0.0337166044091 0 0.114850237468 0 0.162064190478 0 0.164850993903 0 0.0969587500128 0 -0.0270994959675 0 -0.0243369970911 0 0.0940202600607 0 0.200893149137 0 -0.18992191098 0 -0.154029472822 0 -0.0899052110524 0
10 0.333 1  0.181170344664 -0.000593841266156 0.0879484882235 -0.0793362426181 0.131040387907 0.0738018530822 0.0396164499943 0.0934555733047 -0.0593804557957 0.0390886241916 -0.0155817494488 -0.0573898100186 0.0318629917802 0.01729066921 0.0402150224198 0.04029109328 0.129703667989 0.022122681669 0.104775309495 0.0290913793593 -0.0617517018931 0.0165884084129 -0.184412985715 0.0526750430764 -0.064839469107 0.0864468674206 0.139144934822 0.0704144882537
10 0.333 2  0.0258635039797 1.60900245301e-17 0.0109867760129 1.01139638916e-17 0.0734955810813 -8.55576695569e-18 0.00456448229781 -3.99324013614e-19 -0.0726808122322 1.1215833853e-17 -0.0395100822041 2.24721072123e-17 0.0160669350251 4.77015787921e-18 0.0153666246525 -4.49148469744e-18 0.017225865526 8.52031961337e-18 0.0554594042519 4.83796152072e-18 0.063119369149 -8.88757893892e-18 0.0218283743796 -4.46740798982e-17 0.0246292779567 -3.24831427839e-17 0.0553990874277 -7.26470157187e-18
10 0.333 3  0.181170344664 0.000593841266156 0.0879484882235 0.0793362426181 0.131040387907 -0.0738018530822 0.0396164499943 -0.0934555733047 -0.0593804557957 -0.0390886241916 -0.0155817494488 0.0573898100186 0.0318629917802 -0.01729066921 0.0402150224198 -0.04029109328 0.129703667989 -0.022122681669 0.104775309495 -0.0290913793593 -0.0617517018931 -0.0165884084129 -0.184412985715 -0.0526750430764 -0.064839469107 -0.0864468674206 0.139144934822 -0.0704144882537
10 0.662009598955 0  -0.0787243051282 0 -0.208845982127 0 -0.122437447078 0 0.136808844192 0 0.282273159864 0 0.248097093198 0 0.184621354247 0 0.0064051705157 0 0.00633320315583 0 0.0896993520615 0 0.111058774266 0 -0.15189273376 0 -0.223221313648 0 -0.114011144699 0
10 0.662009598955 1  0.111091784901 -0.0494975923933 0.0358150824869 -0.0621404017706 0.0792628885772 0.0535102730077 0.0413627328922 0.100433553401 -0.0628777105833 0.0578437690048 -0.0882100699629 -0.0246853336528 -0.022760779729 -0.0247898807644 0.0421615293938 -0.0239358094399 0.0942435283787 0.0329262412568 0.113610380302 0.0456688031633 -0.0756528757735 0.0170415352446 -0.184490923712 0.0497043955663 -0.134577354535 0.0912680760911 0.0352938730981 0.0586926356068
10 0.662009598955 2  0.0160897688228 1.18904106904e-17 0.0315041712555 -6.57926352404e-18 0.0350592144397 -1.07836187719e-17 -0.00873586068508 2.74778810469e-18 -0.0211314197176 6.38190755682e-18 0.00392918106063 6.69025020287e-18 0.027784257105 6.44940550594e-18 0.0164580734707 5.46349397259e-18 0.0193297753823 4.34617665674e-18 0.0470573834056 5.16864362198e-18 0.020103151745 -8.24429181969e-18 0.00575297011524 -3.90382057892e-17 0.0045813296922 -4.21680283464e-17 0.03281350021 -1.58744333323e-17
10 0.662009598955 3  0.111091784901 0.0494975923933 0.0358150824869 0.0621404017706 0.0792628885772 -0.0535102730077 0.0413627328922 -0.100433553401 -0.0628777105833 -0.0578437690048 -0.0882100699629 0.0246853336528 -0.022760779729 0.0247898807644 0.0421615293938 0.0239358094399 0.0942435283787 -0.0329262412568 0.113610380302 -0.0456688031633 -0.0756528757735 -0.0170415352446 -0.184490923712 -0.0497043955663 -0.134577354535 -0.0912680760911 0.0352938730981 -0.0586926356068
10 0.999 0  -0.159033888638 0 -0.268759730629 0 -0.130462358215 0 0.139990149782 0 0.320256233401 0 0.271934571836 0 0.208674912053 0 0.0445851892978 0 -0.0118261201301 0 0.0696742557462 0 0.106001366143 0 -0.0892818839967 0 -0.21524841051 0 -0.151932554011 0
10 0.999 1  0.0410603558722 -0.0339864836237 -0.00533042434141 -0.0410395746585 0.0319051180122 0.0199887797145 0.0274155393729 0.0761087521369 -0.0598032439348 0.0545323395783 -0.087095424763 -0.004542785296 -0.046119077622 -0.0373631626979 0.00425864887738 -0.0328051025222 0.0455769124886 0.009945202714 0.0920289722811 0.0216081569034 -0.0537786193134 0.0247922426257 -0.147829524805 0.0371953602532 -0.128370903784 0.0789593341382 -0.0169959557499 0.0444753064765
10 0.999 2  0.00195580969373 -9.06706368539e-19 0.0238084760285 -1.64572236232e-17 0.02252911779 -1.06677167128e-17 -0.0119575165576 4.80528588367e-18 -0.0107456223789 7.58190672695e-18 0.0126199180187 4.22316624929e-18 0.0207240192477 7.89842226127e-18 0.00647421123078 6.07976261061e-18 0.00723475412873 2.31048215123e-18 0.0253888998522 8.22651508801e-18 0.00937436862312 -4.85348734963e-18 0.00147242759439 -2.83964325589e-17 -0.000334693725738 -3.85093128314e-17 0.00849386601833 -1.8391542125e-17
10 0.999 3  0.0410603558722 0.0339864836237 -0.00533042434141 0.0410395746585 0.0319051180122 -0.0199887797145 0.0274155393729 -0.0761087521369 -0.0598032439348 -0.0545323395783 -0.087095424763 0.004542785296 -0.046119077622 0.0373631626979 0.00425864887738 0.0328051025222 0.0455769124886 -0.009945202714 0.0920289722811 -0.0216081569034 -0.0537786193134 -0.0247922426257 -0.147829524805 -0.0371953602532 -0.128370903784 -0.0789593341382 -0.0169959557499 -0.0444753064765
